player,runs,bb_bf,4s,6s,sr,not_out,mins
TA Boult (NZ),21,24,1.0,1.0,96.42666666666666,2.0,14.333333333333334
Hasan Ali (PAK),20,28,4.0,0.0,54.38333333333333,0.0,10.0
MJ Henry (NZ),19,13,1.0,1.0,120.83333333333333,1.0,7.0
JJ Bumrah (IND),17,26,1.0,0.0,82.0,1.0,22.5
RJW Topley (ENG),16,9,3.0,0.0,132.14,2.0,5.0
Naveen-ul-Haq (AFG),16,25,2.0,0.0,49.166,1.0,7.6
TG Southee (NZ),16,21,2.0,0.0,76.815,0.0,12.5
Hasan Mahmud (BAN),15,25,2.0,0.0,60.0,0.0,32.0
FDM Karunaratne (SL),15,22,1.0,0.0,35.71,0.0,17.5
Saqib Zulfiqar (NED),13,33,1.0,0.0,37.775,0.0,21.5
DN Wellalage (SL),12,18,1.0,0.0,49.07333333333333,0.0,9.666666666666666
HH Pandya (IND),11,8,0.0,1.0,137.5,1.0,17.0
L Ngidi (SA),11,41,0.0,0.0,19.243333333333336,1.0,22.0
Kuldeep Yadav (IND),9,13,1.0,0.0,69.23,1.0,18.0
T Shamsi (SA),9,15,1.0,0.0,62.22,3.0,9.333333333333334
C Karunaratne (SL),8,28,1.0,0.0,26.735,0.0,20.0
R Klein (NED),8,15,0.0,0.0,53.33,0.0,23.0
LH Ferguson (NZ),7,8,0.0,1.0,110.0,0.0,7.0
Najibullah Zadran (AFG),7,21,0.0,0.0,31.73,0.0,11.0
PVD Chameera (SL),6,39,0.0,0.0,18.61,0.0,16.0
Shariz Ahmad (NED),6,8,0.0,0.0,75.0,0.0,13.0
M Pathirana (SL),6,19,1.0,0.0,32.29,1.0,14.0
Tanzim Hasan Sakib (BAN),5,6,1.0,0.0,83.33,1.0,6.0
CBRLS Kumara (SL),4,8,1.0,0.0,50.0,0.0,6.0
JR Hazlewood (AUS),4,5,0.0,0.0,75.0,2.0,2.25
Mohammed Shami (IND),4,10,0.0,0.0,56.666666666666664,1.0,5.666666666666667
MADI Hemantha (SL),4,4,1.0,0.0,66.665,1.0,4.0
Fazalhaq Farooqi (AFG),2,6,0.0,0.0,25.0,1.0,4.0
SA Yadav(IND),1,2,0.0,0.0,50.0,0.0,2.0
AT Carey (AUS),0,2,0.0,0.0,0.0,0.0,1.0
Usama Mir (PAK),0,3,0.0,0.0,0.0,0.0,4.0
