,JobTitle,Year,TotalPay,TotalPay,TotalPay,TotalPay,TotalPay,TotalPay,TotalPay
17,AIRPORT ECONOMIC PLANNER,2011,1407442.68,101590.74,111811.72,108264.82153846153,4006.255460636621,101590.74,109113.16
18,AIRPORT ELECTRICIAN,2011,1848033.08,98061.21,118617.32,108707.82823529412,6144.36157914843,98061.21,110872.37
19,AIRPORT ELECTRICIAN SUPERVISOR,2011,234177.52,115592.12,118585.4,117088.76,2116.568585990068,115592.12,117088.76
20,AIRPORT EMERGENCY PLANNING COORDINATOR,2011,151731.87,64095.68,87636.19,75865.935,16645.65425358973,64095.68,75865.935
21,AIRPORT MECHANICAL MAINTENANCE SUPERVISOR,2011,128534.17,128534.17,128534.17,128534.17,,128534.17,128534.17
22,AIRPORT NOISE ABATEMENT SPECIALIST,2011,98994.45,36357.6,62636.85,49497.225,18582.23587949658,36357.6,49497.225
23,AIRPORT OPERATIONS SUPERVISOR,2011,1138967.76,78980.27,113567.7,94913.98,9643.19140117288,78980.27,93278.70499999999
24,AIRPORT POLICE SERVICES AIDE,2011,11244297.15,2726.46,89305.55,60129.93128342246,15779.177271669141,2726.46,62592.46
25,AIRPORT PROPERTY SPECIALIST I,2011,1009863.96,15855.49,94667.43,77681.84307692308,23741.148300587873,94078.6,86625.68
26,AIRPORT SAFETY OFFICER,2011,2983970.57,3114.54,97733.68,74599.26425,23353.906244760346,3114.54,83249.785
27,ANESTHETIST,2011,2806631.51,2220.08,238879.2,112265.26039999998,90526.26053709109,2220.08,84242.34
28,ANIMAL CARE ASSISTANT SUPERVISOR,2011,56298.62,56298.62,56298.62,56298.62,,56298.62,56298.62
29,ANIMAL CARE ATTENDANT,2011,612930.13,4209.81,57687.01,43780.72357142857,17707.828872354137,4209.81,52490.04
30,ANIMAL CARE SUPERVISOR,2011,73618.87,73618.87,73618.87,73618.87,,73618.87,73618.87
31,ANIMAL CONTROL OFFICER,2011,626356.58,10963.02,64121.79,48181.27538461538,20694.93561945354,10963.02,59768.45
32,ANIMAL HEALTH TECHNICIAN,2011,40430.60999999999,324.4,39447.27,13476.869999999997,22491.648147098957,324.4,658.94
33,ANIMAL KEEPER,2011,225503.37,37559.79,63730.16,56375.8425,12601.09097841499,37559.79,62106.71
34,APPRENTICE GARDENER,2011,271221.92,846.16,34145.59,24656.53818181818,13450.811484308904,846.16,31832.31
35,APPRENTICE STATIONARY ENGINEER,2011,781299.21,34456.21,122543.2,65108.267499999994,24553.299440387054,34456.21,60527.240000000005
36,"APPRENTICE STATIONARY ENGINEER, SEWAGE PLANT",2011,924409.73,43022.18,92358.52,71108.44076923077,15764.882503688086,43022.18,76569.98
37,"APPRENTICE STATIONARY ENGINEER,WATER TREATMENT PLN",2011,354166.83999999997,12160.24,91239.34,59027.806666666664,29399.61700823443,12160.24,63000.72
38,ARCHITECT,2011,1498221.7,3569.9,157177.01,99881.44666666667,45860.88631397499,120937.06,120937.06
39,ARCHITECTURAL ADMINISTRATOR,2011,411161.64,100441.54,106492.04,102790.41,2590.646022931991,100441.54,102114.03
40,ARCHITECTURAL ASSISTANT  I,2011,132490.99,59214.77,73276.22,66245.495,9942.94664831558,59214.77,66245.495
41,ARCHITECTURAL ASSISTANT II,2011,1084413.15,2441.1,81739.12,57074.37631578947,27319.367033118393,2441.1,71676.79
42,ARCHITECTURAL ASSOCIATE  I,2011,1045967.73,2737.83,157181.81,80459.05615384615,35237.706672825996,89806.01,89806.01
43,ARCHITECTURAL ASSOCIATE II,2011,1986651.52,39698.08,139422.3,99332.576,20763.174624789914,104486.07,104486.07
44,"AREA SUPERVISOR, PARKS, SQUARES AND FACILITIES",2011,88242.32,88242.32,88242.32,88242.32,,88242.32,88242.32
45,ARTS PROGRAM ASSISTANT,2011,474960.15,6169.0,60790.86,43178.19545454546,17380.541385164248,6169.0,51140.23
46,ASPHALT FINISHER,2011,632099.48,51991.01,71996.09,63209.948,6081.838007502893,51991.01,63361.095
47,ASPHALT FINISHER SUPERVISOR I,2011,592403.62,23536.46,114393.36,74050.4525,30773.171472120113,23536.46,86901.16500000001
48,ASPHALT PLANT SUPERVISOR I,2011,100403.89,100403.89,100403.89,100403.89,,100403.89,100403.89
49,ASPHALT WORKER,2011,1153028.87,11730.21,64739.32,44347.26423076924,17166.665240845858,11730.21,45665.175
50,ASR Senior Office Specialist,2012,1004647.5,48742.05,65824.07,59096.91176470588,5698.716178392984,48742.05,58202.06
51,ASR Senior Office Specialist,2013,1434007.9,41638.68,82253.18,68286.09047619047,12152.452935389829,72871.59,72871.6
52,ASR Senior Office Specialist,2014,1372506.39,15354.9,124469.21,62386.65409090908,22636.10567122604,15354.9,68985.01999999999
53,ASR-Office Assistant,2012,448669.9,7898.88,53538.61,40788.17272727273,14272.120024770036,7898.88,46930.61
54,ASR-Office Assistant,2013,582984.74,8399.63,57186.13,38865.649333333335,18847.252475994803,8399.63,47925.39
55,ASR-Office Assistant,2014,670316.94,19823.38,56817.07,44687.795999999995,11970.335147780235,19823.38,46652.82
56,ASSESSMENT CLERK,2011,1159123.58,935.39,50410.42,32197.877222222225,18713.13400912596,2771.0,40715.985
57,ASSESSOR,2011,164425.0,164425.0,164425.0,164425.0,,164425.0,164425.0
58,ASSISTANT CHIEF ATTORNEY I,2011,4009081.1,52739.23,185695.47,174307.87391304347,36176.71065012754,185695.36,185695.36
59,ASSISTANT CHIEF ATTORNEY II,2011,935325.13,160453.13,194980.11,187065.026,15036.256331062927,160453.13,194980.09
60,ASSISTANT CHIEF DISTRICT ATTORNEY'S INVESTIGATOR,2011,471857.64,117350.98,118894.6,117964.41,754.0486831763645,117350.98,117806.03
61,"ASSISTANT CHIEF OF DEPARTMENT, (FIRE DEPARTMENT)",2011,610283.55,73444.97,299494.17,203427.85,116778.89358456517,73444.97,237344.41
62,ASSISTANT CHIEF VICTIM/WITNESS INVESTIGATOR,2011,437666.05,85849.18,88734.21,87533.20999999999,1043.567283551952,87694.22,87694.22
63,"ASSISTANT CLERK, BOARD OF SUPERVISORS",2011,367402.07,6941.41,92104.84,73480.414,37277.86205500095,6941.41,90664.0
64,ASSISTANT CONSTRUCTION INSPECTOR,2011,494238.63,41812.6,86757.33,70605.51857142858,15958.72456392368,41812.6,74975.56
65,ASSISTANT COOK,2011,144691.82,1824.78,59385.35,24115.303333333333,22631.50172300165,1824.78,15572.2
66,ASSISTANT COUNSELOR,2011,248453.14,59206.04,65876.46,62113.285,2812.301594667022,59206.04,61685.32
67,ASSISTANT COURT REPORTER COORDINATOR,2011,126571.71,126571.71,126571.71,126571.71,,126571.71,126571.71
68,ASSISTANT DEPUTY CHIEF II,2011,1143622.53,181860.74,316285.74,228724.506,53250.612487786275,181860.74,203023.05
69,"ASSISTANT DEPUTY DIRECTOR, PORT",2011,264485.0,132242.5,132242.5,132242.5,0.0,132242.5,132242.5
70,ASSISTANT DIRECTOR OF CLINICAL SERVICES I,2011,108888.03,108888.03,108888.03,108888.03,,108888.03,108888.03
71,ASSISTANT DIRECTOR OF CLINICAL SERVICES II,2011,132471.24,132471.24,132471.24,132471.24,,132471.24,132471.24
72,"ASSISTANT DIRECTOR, JUVENILE HALL",2011,20717.65,20717.65,20717.65,20717.65,,20717.65,20717.65
73,"ASSISTANT DIRECTOR, LOG CABIN RANCH",2011,81589.92,81589.92,81589.92,81589.92,,81589.92,81589.92
74,ASSISTANT ELECTRONIC MAINTENANCE TECHNICIAN,2011,909281.29,17553.44,155709.11,82661.93545454546,48399.59746882848,17553.44,78883.14
75,ASSISTANT ENGINEER,2011,12309576.12,2106.0,129497.67,84312.16520547944,12127.987850274107,89806.0,88149.005
76,ASSISTANT FORENSIC TOXICOLOGIST I,2011,499179.66000000003,6456.28,98595.47,83196.61,37594.938816946626,98531.99,98531.985
77,ASSISTANT GENERAL SERVICES MANAGER,2011,309874.18,5320.68,75125.14,51645.69666666666,27309.695674199425,5320.68,65019.060000000005
78,ASSISTANT HEALTH EDUCATOR,2011,461755.35,2157.71,78825.14,57719.41875,26057.64360697887,2157.71,72064.98999999999
79,ASSISTANT INDUSTRIAL HYGIENIST,2011,79904.0,79904.0,79904.0,79904.0,,79904.0,79904.0
80,ASSISTANT INSPECTOR (POLICE DEPARTMENT),2011,188999.2,188999.2,188999.2,188999.2,,188999.2,188999.2
81,ASSISTANT INSPECTOR II (POLICE DEPARTMENT),2011,1508888.61,129913.87,165094.39,150888.861,10499.751100107576,129913.87,151752.73
82,ASSISTANT INSPECTOR III (POLICE DEPARTMENT),2011,1374040.94,137502.89,186630.88,152671.21555555554,14475.974080084474,137502.89,150342.36
83,ASSISTANT LAW LIBRARIAN,2011,107692.0,107692.0,107692.0,107692.0,,107692.0,107692.0
84,ASSISTANT MATERIALS COORDINATOR,2011,727119.66,11019.4,95527.62,60593.305,30228.86709332848,11019.4,68253.83499999999
85,ASSISTANT MEDICAL EXAMINER,2011,1063965.86,80532.37,274550.25,212793.17200000002,88720.66356380298,80532.37,273771.21
86,ASSISTANT POWER HOUSE OPERATOR,2011,95754.58,38532.8,57221.78,47877.29,13215.10449145976,38532.8,47877.29
87,ASSISTANT PURCHASER,2011,1168251.93,6211.7,72357.12,50793.562173913044,20094.785480669754,61369.05,61369.04
88,ASSISTANT RECREATION DIRECTOR,2011,58885.38,1852.28,57033.1,29442.69,39018.732013434266,1852.28,29442.69
89,ASSISTANT RECREATION SUPERVISOR,2011,2474.41,2474.41,2474.41,2474.41,,2474.41,2474.41
90,"ASSISTANT RENTAL MANAGER, PORT",2011,567110.53,36451.41,94078.01,81015.79000000001,21369.511138190937,94078.0,93861.11
91,ASSISTANT RETIREMENT ANALYST,2011,1660148.74,13952.04,72321.35,63851.874615384615,12236.454937121687,69018.0,69018.0
92,ASSISTANT SHERIFF,2011,189675.09,15445.71,174229.38,94837.545,112277.00979868697,15445.71,94837.545
93,ASSISTANT STOREKEEPER,2011,854387.64,37448.64,80138.18,56959.176,12648.69886009105,37448.64,55139.39
94,ASSISTANT SUPERINTENDENT RECREATION,2011,100515.4,100515.4,100515.4,100515.4,,100515.4,100515.4
95,"ASSISTANT TO THE DIRECTOR, PUBLIC AFFAIRS       RS",2011,95283.35,95283.35,95283.35,95283.35,,95283.35,95283.35
96,ASSOCIATE AFFIRMATIVE ACTION COORDINATOR,2011,741177.6,8000.0,108243.67,92647.2,34378.353146670655,8000.0,103446.105
97,ASSOCIATE AUDITOR,2011,1306668.91,41837.15,92507.81,76862.87705882352,19465.952022676265,41837.15,84566.35
98,ASSOCIATE ENGINEER,2011,14690033.17,1647.5,178321.37,99256.98087837838,25299.05509868536,104486.02,104486.06
99,ASSOCIATE HUMAN RESOURCES ANALYST,2011,81641.17,81641.17,81641.17,81641.17,,81641.17,81641.17
100,"ASSOCIATE MUSEUM CONSERVATOR, ASIAN ART MUSEUM",2011,72844.4,72844.4,72844.4,72844.4,,72844.4,72844.4
101,ASSOCIATE MUSEUM REGISTRAR,2011,79411.28,30318.3,49092.98,39705.64,13275.70354260745,30318.3,39705.64
102,ASSOCIATE PERFORMANCE AUDITOR,2011,618275.78,20097.73,86107.27,56206.88909090909,26565.29582573417,20097.73,56779.86
103,ASST. CHIEF PROBATION OFFICER-JUVENILE PROBATION,2011,166821.15,166821.15,166821.15,166821.15,,166821.15,166821.15
104,"ASST. CHIEF, BUREAU OF CLAIMS INVEST. & ADMIN",2011,135166.98,135166.98,135166.98,135166.98,,135166.98,135166.98
105,ATTORNEY (CIVIL/CRIMINAL),2011,48277388.65,602.2,182759.79,128056.73381962864,42486.73675438532,164352.66,139232.92
106,ATTORNEY FOR THE PUBLIC ADMINISTRATOR,2011,170844.78,170844.78,170844.78,170844.78,,170844.78,170844.78
107,"ATTORNEY, TAX COLLECTOR",2011,174931.06999999998,22630.74,152300.33,87465.53499999999,91690.24640267932,22630.74,87465.53499999999
108,AUDIOLOGIST,2011,100556.11,100556.11,100556.11,100556.11,,100556.11,100556.11
109,AUDIOMETRIST,2011,21190.28,5863.91,15326.37,10595.14,6690.9696327064585,5863.91,10595.14
110,AUTOMOTIVE BODY AND FENDER WORKER,2011,3301538.25,34601.1,122606.09,86882.58552631579,15475.177449981451,34601.1,86635.645
111,AUTOMOTIVE BODY AND FENDER WORKER SUPERVISOR I,2011,122486.89,122486.89,122486.89,122486.89,,122486.89,122486.89
112,AUTOMOTIVE MACHINIST,2011,4847301.46,1000.0,122401.21,73443.96151515152,28279.314062749185,1000.0,75037.725
113,AUTOMOTIVE MACHINIST ASSISTANT SUPERVISOR,2011,878085.24,88262.68,136393.77,109760.655,17712.600707980248,88262.68,105941.06
114,AUTOMOTIVE MACHINIST SUPERVISOR I,2011,740575.67,97527.87,116673.69,105796.52428571429,7872.214246135715,97527.87,103958.05
115,AUTOMOTIVE MECHANIC,2011,11459670.73,411.05,156504.75,90949.7676984127,24285.545776537598,411.05,89301.0
116,AUTOMOTIVE MECHANIC ASSISTANT SUPERVISOR,2011,1216416.77,81864.8,137873.59,110583.34272727273,16533.941271106596,81864.8,110461.94
117,AUTOMOTIVE MECHANIC SUPERVISOR I,2011,757023.84,72053.15,183180.73,126170.64,39102.524041983794,72053.15,122982.375
118,AUTOMOTIVE SERVICE WORKER,2011,7877348.06,15153.7,116017.62,71612.2550909091,19586.743641777062,15153.7,70981.91
119,AUTOMOTIVE SERVICE WORKER ASSISTANT SUPERVISOR,2011,348525.52,65929.07,101813.11,87131.38,15777.732551259276,65929.07,90391.67
120,AUTOMOTIVE TRANSIT SHOP SUPERVISOR I,2011,649310.36,122472.36,139267.56,129862.072,6979.651431838839,122472.36,130955.97
121,Account Clerk,2012,3915671.01,2023.0,63194.81,46066.71776470588,13710.046528841485,52914.5,52914.5
122,Account Clerk,2013,4021311.91,0.0,64275.68,44681.243444444444,18229.23200344443,56538.06,54575.43
123,Account Clerk,2014,3504354.69,0.0,58286.12,37681.23322580645,20553.66441359266,7348.0,46431.63
124,Accountant I,2012,199898.15,65091.49,67895.66,66632.71666666666,1422.6466734341839,65091.49,66911.0
125,Accountant I,2013,205581.39,63007.17,71605.0,68527.13,4790.98349541094,63007.17,70969.22
126,Accountant I,2014,90809.26999999999,19919.23,70890.04,45404.634999999995,36041.805393571085,19919.23,45404.634999999995
127,Accountant II,2012,4597028.14,1667.4,76715.07,63847.61305555555,14864.061315967398,74165.01,67131.01000000001
128,Accountant II,2013,5373487.15,19150.71,82553.67,69785.54740259741,11622.781018171583,63596.5,71284.75
129,Accountant II,2014,5251760.52,7836.41,81116.47,68204.68207792207,12836.203186415181,78524.01,66964.67
130,Accountant III,2012,6864891.94,198.07,103766.03,78010.13568181818,19727.639377028812,89648.0,83368.65
131,Accountant III,2013,7224111.32,2946.98,100759.53,79385.83868131868,26491.809579593675,95961.54,91559.05
132,Accountant III,2014,7873294.63,510.0,99733.26,79528.22858585858,23088.00477522932,94984.0,90290.71
133,Accountant IV,2012,4692783.81,7957.72,111735.12,86903.40388888888,30003.41484674428,103766.01,103766.0
134,Accountant IV,2013,5309752.68,11386.45,119516.19,96540.9578181818,27523.147312391542,111075.53,111075.52
135,Accountant IV,2014,5937705.8,10966.8,118307.08,95769.44838709677,27876.156788725497,109960.02,109960.005
136,Accountant Intern,2012,1331969.68,1639.34,56355.49,51229.60307692307,12769.188651827733,54492.5,54686.36
137,Accountant Intern,2013,1062131.12,16394.01,64629.68,46179.61391304348,11326.560624631074,50285.2,50062.83
138,Accountant Intern,2014,239897.95,17508.0,42551.4,21808.904545454545,7023.5592615601445,19729.0,19701.25
139,Acupuncturist,2012,71748.5,71748.5,71748.5,71748.5,,71748.5,71748.5
140,Acupuncturist,2013,76851.0,76851.0,76851.0,76851.0,,76851.0,76851.0
141,Acupuncturist,2014,79495.0,79495.0,79495.0,79495.0,,79495.0,79495.0
142,"Adm, SFGH Medical Center",2012,264364.82,264364.82,264364.82,264364.82,,264364.82,264364.82
143,"Adm, SFGH Medical Center",2013,276831.5,276831.5,276831.5,276831.5,,276831.5,276831.5
144,"Adm, SFGH Medical Center",2014,268946.02,268946.02,268946.02,268946.02,,268946.02,268946.02
145,Admin Analyst 3,2012,122111.3,8300.32,65528.5,40703.76666666667,29357.176607598583,8300.32,48282.48
146,Admin Analyst 3,2013,297995.21,97829.66,101142.02,99331.73666666668,1677.5505072674614,97829.66,99023.53
147,Admin Hearing Examiner,2013,871514.8,4410.27,95427.07,54469.675,25573.255595152794,4410.27,57075.295
148,Admin Hearing Examiner,2014,732838.32,3430.91,79680.99,48855.888,24166.3029672982,3430.91,54427.87
149,Administrative Analyst,2012,7702541.67,12720.4,98419.02,68772.69348214286,17174.36630900826,79724.5,76497.505
150,Administrative Analyst,2013,8988297.23,778.8,89444.41,71335.6923015873,21029.568448300757,85185.02,77781.69
151,Administrative Analyst,2014,8854300.29,5855.5,91276.01,68110.00223076923,21853.706608754735,84659.0,77055.0
152,Administrative Analyst I,2012,5415.77,5415.77,5415.77,5415.77,,5415.77,5415.77
153,Administrative Analyst I,2013,55646.54,55646.54,55646.54,55646.54,,55646.54,55646.54
154,Administrative Analyst II,2012,104754.64,45442.31,59312.33,52377.32,9807.58519719304,45442.31,52377.32
155,Administrative Analyst II,2013,10829.85,10829.85,10829.85,10829.85,,10829.85,10829.85
156,Administrative Engineer,2012,1024310.66,6459.2,138134.52,102431.066,45910.472485235674,6459.2,130896.42000000001
157,Administrative Engineer,2013,1177698.68,39938.0,149030.06,130855.40888888888,34296.69294908201,39938.0,142485.01
158,Administrative Engineer,2014,1401876.92,133415.02,145912.69,140187.69199999998,3372.7445554220185,141002.02,141002.025
159,Administrative Hearing Sup,2014,96803.51,96803.51,96803.51,96803.51,,96803.51,96803.51
160,Administrative Services Mgr,2012,187224.4,93091.4,94133.0,93612.2,736.5224232839121,93091.4,93612.2
161,Administrative Services Mgr,2013,347449.19,62286.0,100753.0,86862.2975,16886.409781305152,62286.0,92205.095
162,Administrative Services Mgr,2014,479471.87,85878.02,99744.01,95894.374,5769.548137985327,85878.02,97552.73
163,"Administrator, DPH",2013,230880.96,230880.96,230880.96,230880.96,,230880.96,230880.96
164,"Administrator, DPH",2014,282619.96,282619.96,282619.96,282619.96,,282619.96,282619.96
165,Admission Attendant,2012,1168238.55,1915.5,57630.6,24338.303125000002,17087.630039982967,1915.5,21012.120000000003
166,Admission Attendant,2013,1225540.21,1009.23,57740.57,22695.189074074075,18142.880769297375,1009.23,14593.005000000001
167,Admission Attendant,2014,1271561.05,170.21,52858.89,20509.049193548388,17741.587364710456,170.21,13774.119999999999
168,Agricultural Inspector,2012,115652.9,56554.63,59098.27,57826.45,1798.6250928973493,56554.63,57826.45
169,Agricultural Inspector,2013,129764.16,63506.08,66258.08,64882.08,1945.9578618253788,63506.08,64882.08
170,Agricultural Inspector,2014,132086.12,65875.04,66211.08,66043.06,237.61616274993318,65875.04,66043.06
171,Airport Communications Disp,2012,2224144.48,23249.04,102645.13,82375.72148148148,17791.920430227845,23249.04,88522.63
172,Airport Communications Disp,2013,2317273.21,2516.0,126581.1,79905.97275862069,39936.23240431093,2516.0,97293.09
173,Airport Communications Disp,2014,2434545.21,190.97,125424.14,83949.83482758621,32937.84732652639,190.97,95170.12
174,Airport Communications Officer,2013,69928.5,69928.5,69928.5,69928.5,,69928.5,69928.5
175,Airport Communications Officer,2014,97698.9,97698.9,97698.9,97698.9,,97698.9,97698.9
176,Airport Economic Planner,2012,1470012.95,104364.7,115920.09,113077.91923076923,3159.541914016074,114400.69,114400.07
177,Airport Economic Planner,2013,1429564.01,91677.27,125634.39,119130.33416666667,9283.221286133248,91677.27,122464.375
178,Airport Economic Planner,2014,1362779.9,39.91,121920.13,104829.22307692307,34924.616740153215,121230.06,121230.06
179,Airport Electrician,2012,1794620.1300000001,56149.69,141791.31,105565.89000000001,18148.812912941437,56149.69,109296.61
180,Airport Electrician,2013,1748248.79,66587.65,151297.74,116549.91933333334,19443.379153856855,66587.65,116327.13
181,Airport Electrician,2014,2003469.9,7928.14,181521.53,111303.88333333333,37392.191482216454,7928.14,115422.16500000001
182,Airport Electrician Supervisor,2012,232374.36,114964.79,117409.57,116187.18,1728.7205165092519,114964.79,116187.18
183,Airport Electrician Supervisor,2013,308732.72,38105.31,146658.11,102910.90666666666,57258.35785539114,38105.31,123969.3
184,Airport Electrician Supervisor,2014,127682.52,127682.52,127682.52,127682.52,,127682.52,127682.52
185,Airport Emerg Planning Coord,2012,188950.91,28503.74,92872.66,62983.636666666665,32429.10041866152,28503.74,67574.51
186,Airport Emerg Planning Coord,2013,258875.87,71269.23,95276.03,86291.95666666667,13093.151344123899,71269.23,92330.61
187,Airport Emerg Planning Coord,2014,191868.25,3258.18,94305.05,63956.083333333336,52565.926243120965,3258.18,94305.02
188,Airport Mechanical Maint Sprv,2012,149192.28,149192.28,149192.28,149192.28,,149192.28,149192.28
189,Airport Mechanical Maint Sprv,2013,151513.54,151513.54,151513.54,151513.54,,151513.54,151513.54
190,Airport Noise Abatement Spec,2012,135031.77,64800.52,70231.25,67515.885,3840.106009793219,64800.52,67515.885
191,Airport Noise Abatement Spec,2013,221183.57,71066.47,77449.03,73727.85666666667,3320.63681731883,71066.47,72668.07
192,Airport Noise Abatement Spec,2014,199472.46000000002,44360.94,79259.02,66490.82,19240.576556808275,44360.94,75852.5
193,Airport Operations Supervisor,2012,1201119.24,66839.98,123543.83,100093.27,14673.251093018958,66839.98,100051.94
194,Airport Operations Supervisor,2013,1392329.62,211.69,148280.26,99452.11571428573,35513.489225926045,211.69,105786.015
195,Airport Operations Supervisor,2014,1314085.68,14577.05,159381.66,101083.51384615384,36740.26019173076,14577.05,105583.29
196,Airport Property Specialist 1,2012,1054656.97,45755.19,97876.1,87888.08083333333,14467.760609738447,96291.1,93872.47
197,Airport Property Specialist 1,2013,1145740.2,55014.95,110026.15,95478.34999999999,14360.226366866103,55014.95,100009.975
198,Airport Property Specialist 1,2014,1054484.26,15596.77,108077.09,87873.68833333334,29450.802025085784,101954.1,101637.18
199,Airport Safety Officer,2012,3436905.25,3080.83,120388.89,76375.67222222222,37885.25363522545,7922.3,90514.99
200,Airport Safety Officer,2013,3642256.58,529.03,115888.91,88835.52634146341,28380.242291992752,529.03,95927.3
201,Airport Safety Officer,2014,3876709.92,774.64,129827.15,92302.61714285714,28649.155690074855,774.64,98976.11
202,Airports Communications Sprv,2012,187051.42,93033.6,94017.82,93525.71,695.9486361794246,93033.6,93525.71
203,Airports Communications Sprv,2013,196992.82,97767.14,99225.68,98496.41,1031.3435246318277,97767.14,98496.41
204,Airports Communications Sprv,2014,195626.64,97146.1,98480.54,97813.32,943.591573086573,97146.1,97813.32
205,Anesthetist,2012,3398352.8,18981.78,249803.78,147754.46956521738,80325.42465624874,18981.78,178041.78
206,Anesthetist,2013,3628829.36,14507.09,264937.6,164946.7890909091,85039.25511061148,14507.09,203493.88
207,Anesthetist,2014,3359879.34,2409.16,258570.98,159994.25428571427,94436.57386389484,2409.16,203598.91
208,Animal Care Asst Supv,2012,57617.15,57617.15,57617.15,57617.15,,57617.15,57617.15
209,Animal Care Asst Supv,2013,61746.76,61746.76,61746.76,61746.76,,61746.76,61746.76
210,Animal Care Asst Supv,2014,61268.8,61268.8,61268.8,61268.8,,61268.8,61268.8
211,Animal Care Attendant,2012,647035.78,2380.59,57132.49,35946.432222222225,19743.944645916883,2380.59,38714.825
212,Animal Care Attendant,2013,659858.89,922.0,61496.31,47132.77785714286,17037.046421775736,922.0,53594.725000000006
213,Animal Care Attendant,2014,667381.54,7477.8,60525.93,47670.11,16157.727953988222,7477.8,54962.56
214,Animal Care Supervisor,2012,79632.28,79632.28,79632.28,79632.28,,79632.28,79632.28
215,Animal Care Supervisor,2013,99576.49,99576.49,99576.49,99576.49,,99576.49,99576.49
216,Animal Control Officer,2012,617541.25,1346.1,65541.96,41169.416666666664,25206.382121919236,1346.1,51640.47
217,Animal Control Officer,2013,591017.03,0.0,69994.36,49251.41916666667,25697.468801156785,0.0,61262.365000000005
218,Animal Control Officer,2014,551730.04,180.92,69221.81,50157.27636363637,26337.58228955812,180.92,61154.17
219,Animal Control Supervisor,2012,6627.0,6627.0,6627.0,6627.0,,6627.0,6627.0
220,Animal Control Supervisor,2013,688.1,688.1,688.1,688.1,,688.1,688.1
221,Animal Control Supervisor,2014,81351.71,81351.71,81351.71,81351.71,,81351.71,81351.71
222,Animal Health Technician,2012,40025.94,1784.2,34029.05,13341.980000000001,17956.629411131147,1784.2,4212.69
223,Animal Health Technician,2013,69585.46,11274.91,43192.51,23195.153333333335,17424.497619433205,11274.91,15118.04
224,Animal Health Technician,2014,49964.090000000004,2347.43,47616.66,24982.045000000002,32010.179512093495,2347.43,24982.045000000002
225,Animal Keeper,2012,246431.7,54237.7,65354.29,61607.925,5141.754011492577,54237.7,63419.854999999996
226,Animal Keeper,2013,272167.88,66249.47,70120.28,68041.97,1843.4094456197192,66249.47,67899.065
227,Animal Keeper,2014,274424.45,65672.54,70417.91,68606.1125,2206.4871762808148,65672.54,69167.0
228,Apprentice Cement Mason I,2014,178945.75,39623.94,47493.4,44736.4375,3532.283003878888,39623.94,45914.205
229,Apprentice Gardener,2012,726587.66,1099.42,50617.49,27945.67923076923,12918.67258677638,1099.42,29608.934999999998
230,Apprentice Gardener,2013,620702.21,8396.77,52612.02,26987.05260869565,14067.657043825815,8396.77,17913.55
231,Apprentice Gardener,2014,625903.1,1136.45,53702.84,23181.596296296295,16339.892950598438,9586.6,18652.37
